Word,Count
alice,7
was,12
beginning,1
to,21
get,2
very,6
tired,1
of,16
sitting,1
by,3
her,8
sister,2
on,3
the,25
bank,1
and,13
having,1
nothing,3
do,1
once,2
or,6
twice,1
she,18
had,5
peeped,1
into,2
book,1
reading,1
but,4
it,15
no,1
pictures,3
conversations,1
in,6
“and,1
what,5
is,1
use,1
a,13
book”,1
thought,2
“without,1
conversation”,1
so,5
considering,2
own,1
mind,2
whether,1
pleasure,1
making,1
daisychain,1
would,3
be,5
worth,1
trouble,1
getting,2
up,1
picking,1
daisies,1
when,2
suddenly,3
white,1
rabbit,4
with,4
pink,1
eyes,1
ran,2
close,1
there,2
remarkable,1
that,5
nor,1
did,2
think,4
much,1
out,5
way,2
hear,1
say,2
itself,1
“oh,1
dear,2
oh,1
i,6
shall,2
too,2
late”,1
actually,1
took,2
watch,2
its,1
waistcoatpocket,2
looked,2
at,3
then,4
hurried,1
started,1
feet,1
for,4
flashed,1
across,2
never,3
before,2
seen,1
either,2
take,1
burning,1
curiosity,1
field,1
after,2
just,1
time,2
see,3
pop,1
down,11
large,1
rabbithole,2
under,1
hedge,1
another,1
moment,2
went,3
how,3
world,1
again,1
straight,1
like,2
tunnel,1
some,1
dipped,1
not,2
about,4
stopping,1
herself,3
found,1
falling,1
seemed,1
deep,2
well,3
fell,3
slowly,1
plenty,1
as,4
look,2
wonder,3
going,1
happen,1
next,1
first,1
tried,1
make,1
coming,1
dark,1
anything,2
sides,1
noticed,1
they,1
were,1
filled,1
cupboards,2
bookshelves,1
here,1
saw,1
maps,1
hung,1
upon,1
pegs,1
jar,2
from,1
one,2
shelves,1
passed,1
labelled,1
“orange,1
marmalade”,1
great,1
disappointment,1
empty,1
drop,1
fear,1
killing,1
somebody,1
underneath,1
managed,1
put,1
past,1
“well”,1
“after,1
such,1
fall,2
this,2
tumbling,1
downstairs,1
brave,1
they’ll,1
all,1
me,2
home,1
why,1
wouldn’t,1
even,1
if,1
off,1
top,1
house”,1
come,1
an,1
end,1
“i,2
many,1
miles,2
i’ve,2
fallen,1
time”,1
said,1
aloud,1
must,1
somewhere,1
near,1
centre,1
earth,1
let,1
four,1
thousand,1
think—yes,1
that’s,1
right,1
distance—but,1
latitude,1
longitude,1
got,1
to”,1
